,Datetime,Tweet Id,Text,Username
0,2022-09-20 23:56:00+00:00,1572374043868925954,Today's Topic: Know Ra's Ark a observatory for a Hue in the shape of a man and Wombman. The invisible Creator's in the center seven Seals of the great flood containing the digital compression for a microorganism to micro organize them. A human in their image and even heal them.. https://t.co/qtxlW7pBNi,mybabelproject
1,2022-09-20 23:50:19+00:00,1572372614647005185,"Ya’ll, take the time to check this out. I was lucky to meet @amytzell at #PittFAB this summer. She tells her story about her work, using making and learning to help deal with grief &amp; begin to heal through the self-efficacy from creating. @VWeLabs @emilymariehurst https://t.co/4qjO2VcaTC",GrantLearns
2,2022-09-20 23:39:59+00:00,1572370016737329152,So we not gone act like @PlayApex didn’t add a delay to heal and gun swapping.,SaintOscxr
3,2022-09-20 23:39:42+00:00,1572369945627078656,@SGLewis_ heal my soul,babynick95
4,2022-09-20 23:37:41+00:00,1572369436060930048,"@StarringShane I really needed to hear that today!!! 
Long Story…
Thank You From My Deep Heart, Shane♥️🤌
God Heal Those Of Us That Suffer With Chronic Pain🙏❤️‍🔥",beth_colston
5,2022-09-20 23:24:58+00:00,1572366234984882176,Why..It won't heal if you keep picking at it..damn😒 https://t.co/kzHeAVe8MO,GadstoneRoger
6,2022-09-20 23:13:55+00:00,1572363453423300612,"report these crimes and get the help they need to heal from this devastating trauma.” -District Attorney George Gascón

Read the news release: https://t.co/RWAZ8fgsaN

@LASDHQ #LACounty #LADAOffice",LADAOffice
7,2022-09-20 23:13:02+00:00,1572363235092795392,@iamblackbear hope you heal soon thanks for the show of a lifetime https://t.co/QJtWDjXdsd,AshtonnStephen
8,2022-09-20 23:02:27+00:00,1572360569558298630,"In so much pain , but I’ll heal 💪🏽",angeloflightlit
9,2022-09-20 23:02:03+00:00,1572360470601891841,"@masiya7575 @JackPosobiec While I wish they hadn’t done the Oprah interview, I agree. I am sure hind sight being 20/20 they wish they had not either. People are mean. She is a very beautiful woman. Let them heal their families. ❤️",tigerrosies
10,2022-09-20 23:01:13+00:00,1572360260697866243,@realasitget314 It’s all good I will heal again!💪🏽,angeloflightlit
11,2022-09-20 22:54:00+00:00,1572358445113688064,ima say one mo thing …and and leave it at that…. heal bitch ass nigga ! 🤣😂,lilolemariibtc
12,2022-09-20 22:53:48+00:00,1572358392357978112,"@Dannyourztruly Praying for you! Jehovah God please heal this young man and help him with whatever's going on. In Jesus's mighty name Amen! ""Jehovah is close to the brokenhearted, He saves those who are crushed in spirit."" Psalms 34:18",Skeeter6949
13,2022-09-20 22:26:04+00:00,1572351415330160642,Let the world heal from over population. https://t.co/vnB08HkV4h,earlybass
14,2022-09-20 22:18:48+00:00,1572349583065317377,Nothing more nauseating than an unhealed villain playing victim after causing chaos &amp; hurt. No accountability?! … 🤦🏾‍♀️PLS HEAL BRUV! https://t.co/i67XcZx0Lb,mizwulee
15,2022-09-20 22:12:10+00:00,1572347915737219072,You have to heal you.,aracelygarcia_
16,2022-09-20 22:01:54+00:00,1572345333749026818,"The one who broke you, cannot heal you.",aracelygarcia_
17,2022-09-20 21:59:44+00:00,1572344785662521345,"Alright #TuesdayTeaTime family, tonight's topic is gonna require VULNERABILITY, COMPASSION and RELEASE! Let's heal tonight! See you at 8pm CST! #Retweet
https://t.co/Lc5unAewD3",Simply_Jarell
