,Datetime,Tweet Id,Text,Username
0,2022-09-20 23:36:54+00:00,1572369240493006848,"@stevie_mat Bloop! Not an accompanying article! Lol. 😂 

It’s true, tho. Incongruence is rampant and it makes my teeth itch. But, maybe I’m projecting, because I value authenticity.",_DooleyNoted_
1,2022-09-20 23:34:55+00:00,1572368738955018240,"@diannaeanderson The Anchor in NE Mpls is very good,  maybe that would scratch that itch?",michellemfar
2,2022-09-20 23:22:59+00:00,1572365735791566848,"@MattSMoore_ @MattKall_ @CGarwoodPhoto @itsadamsikora Let’s be real, that itch to make anything into a profitable side hustle is just baked into guys like us. 

I’m addicted. 😂",the_gris
3,2022-09-20 22:03:50+00:00,1572345818853806082,"@ShinglesFacts Shingles is severe pain, while poison ivy uses calamine lotion to correct a temporary itch.
Using calamine lotion to control shingles pain is like attempting to smother a forest fire with a teaspoon full of water. Get the GSK Shingrix vaccine.",bgordski
4,2022-09-20 20:51:14+00:00,1572327546502672385,Starting to get that itch again 👀,NICKBOLICK3
5,2022-09-20 19:28:10+00:00,1572306645144768513,"1 reason for the decline in GBB participation: Its hard. 

Sports that are less hard, Tic-Toc like apps, etc scratch the itch for gratification and the need to be apart of something way easier than sweet 16s, burpees, missing at least 1/2 of your shots, &amp; parents yelling at you.",LBI_Steve
6,2022-09-20 18:23:43+00:00,1572290425855287297,+20hrs of driving &amp; I have the itch to head to New Orleans or maybe even Shreveport 🤔,Euro_Jamerican
7,2022-09-20 16:35:42+00:00,1572263241387999233,@LornaShore itches that itch in my brain every single time 🤤,babyy_dawnn
8,2022-09-20 16:08:24+00:00,1572256368551432192,@mmpadellan Karma.. such a b with an itch…,Laurazimmmm
9,2022-09-20 15:44:27+00:00,1572250343102353408,"@EricBaileyTW @tulsaworld Congrats, Eric! You must have started when you were a baby.  And tell me what 18 years at one place is like! Between the itch and the refusal to recognize my greatness, I've never been anywhere longer than 7.",tdsellars
10,2022-09-20 15:10:21+00:00,1572241760520409088,"After scratching that competitive itch yesterday and seeing entries are live…

Who’s got a micro I can run @TulsaShootout? Thinking of pulling double-duty with @FloRacing &amp; running a class. Anyone @MillbridgeRacin?! @sheldoncreed, @_NickDrake, @Brett_Moffitt, @CarsonHocevar…🧐",chriswilner26
11,2022-09-20 14:06:57+00:00,1572225807850024961,Waking up with an itch to buy a new lens for my camera. 😂😅,Carnage_Queen_
12,2022-09-20 12:44:59+00:00,1572205179201527809,@meaghanmariaa I’m so sad we’re missing tonight— seeing LS DUNES in Nov. will scratch the Frank itch but it’s been so long since seeing MCR,Nevixd
13,2022-09-20 11:18:04+00:00,1572183306568884224,@gl_itch @business Leading the revolution from your parents' couch?,HapyFamilyDad
14,2022-09-20 06:23:11+00:00,1572109094051549186,Man Issa cold wit tha “you were jus an itch I needed to scratch” 🥶,indyangurl01
15,2022-09-20 05:11:46+00:00,1572091121366601735,"If you have an entrepreneurial itch and want to be a business owner, there are some attributes to consider. #business #businessowner #entrepreneur #startup #sales #ceo #investor #mission #marketing #socialmedia #entrepreneurship #success #businessgrowth #smb #investing #social https://t.co/ekdyEVmlXj",ProjectConsult5
16,2022-09-20 04:54:50+00:00,1572086863816540165,I'm getting a Paper Meche itch.,27h3max_yo
17,2022-09-20 04:01:21+00:00,1572073403707801600,Do you ever itch an itch and it itches a little too good,lastbrainsell1
18,2022-09-19 22:52:01+00:00,1571995555416641537,"@Danak65 I only have 6 tattoos, for now- and all but one have lots of colors. No problems AT all!
Almost 62 years old and I’ve had the itch for another one for about a year. I absolutely love my tattooist!",jab191145
19,2022-09-19 22:20:19+00:00,1571987578097893376,@becca_polerina @prettiwingz1 @HookedOnBigBro They scratched each other's itch. They didn't lead each other on.,WendyR76
20,2022-09-19 21:55:40+00:00,1571981374042836996,"a new Coast Off song comes out at midnight: 

“The Itch Is Back (ft. Louavull &amp; Sister Bliss)”

It’s a song about doing that thing you know you shouldn’t do, over and over again. 

art by @OctopusCaveman https://t.co/knyqoZUwXG",CoastOff_
21,2022-09-19 21:29:22+00:00,1571974755938598913,&amp; i dont even understand why these celebrities hyping her. Smh that’s on his annoying and makes me itch.,dannikaii
22,2022-09-19 19:59:33+00:00,1571952155225100291,The itch is back @smits83 lol https://t.co/bWPAuXjGoR,exdeathmatchguy
23,2022-09-19 17:48:35+00:00,1571919192731062273,"@sloppyscorpio No. I really love meeting guys all over the world. Some great queers and theybies out there 💖

Whenever I feel an itch to delete Twitter, that usually just tells me I need to log off more and touch some grasses.",CRShort81
24,2022-09-19 16:55:41+00:00,1571905883311054848,"I wanna start dating again but then again niggas irk me, make my ass itch and get on my damn nerves",countrella
25,2022-09-19 14:46:07+00:00,1571873275436736513,Personally diving into the details of this Rockstar thing feels like scratching a weird itch in the back of my brain.,ExpertPenguin
26,2022-09-19 14:29:41+00:00,1571869140205588480,"@new_orleansjazz When I’m looking for a reactionary and blatantly hypocritical take, I look to the bros to scratch my itch. And they consistently deliver.",cooterbobjim
27,2022-09-19 13:54:50+00:00,1571860369055809537,"@NardiniJames How? My GPA was similar with added difficulties of text anxiety. I barely graduated, and now I have the grad school itch &amp; I HAATE IT!",OpeImTransAJ
28,2022-09-19 13:51:21+00:00,1571859493100851200,*scratches that itch so whale,anthro_andrew
29,2022-09-19 13:49:46+00:00,1571859092746149889,"A) EXACTLY 

B) Whale watching scratches this itch so, so well 😁💕🐬🐋",anthro_andrew
30,2022-09-19 13:34:34+00:00,1571855269713399810,Dumb shit make my titty itch,BlckberryS
31,2022-09-19 12:39:42+00:00,1571841462513328131,"yes right hand, ITCH! https://t.co/CN0FBlBrGe",thechub_b_w
32,2022-09-19 07:53:59+00:00,1571769556712189952,@OddysseyTalks I thought it may scratch an itch for ya i have stolen so many one liners,FaithAriahAnn
33,2022-09-19 07:19:34+00:00,1571760896338460675,"I think I’m finally going normally ish! &amp; finally starting to feel some relief &amp;
more normal! My incisions itch and I’m still sore but def feeling better! Post op appt in 1 week! #gallbladdersurgery #gallbladderrecovery",ceeezyy
34,2022-09-19 04:26:52+00:00,1571717435816017920,Damn. House of the Dragon has really scratched that GoT itch.,KevinTreichel
35,2022-09-19 04:12:46+00:00,1571713888021889024,the itch in my ear to the qtip with cortisone cream: https://t.co/Xe8wwCMWi5,bm123456789_
36,2022-09-19 02:53:00+00:00,1571693814729035776,Legs is itch n ows :c,unIDedTypingObj
